name,date,location,type
West Cliff: Spring Fling Outdoor Market,2026-04-04,Steamer Lane at Lighthouse Point,market
Watsonville: Egg Hunt Eggstravaganza,2026-04-04,Franich Park,food
Downtown Santa Cruz: Earth Day Celebrations,2026-04-18,Abbott Square,music
Santa Cruz Civic Center: Emmylou Harris,2026-04-18,Santa Cruz Civic Auditorium,music
Veterans Memorial Hall: One Man Play,2026-04-24,Santa Cruz Veterans Memorial Building,arts
Downtown Santa Cruz: Kids Day,2026-05-02,Downtown Santa Cruz,family
Santa Cruz Civic Center: An Evening with David Sedaris,2026-05-09,Santa Cruz Civic Auditorium,community
Roaring Camp: Redwood Mountain Faire,2026-05-30,Roaring Camp,music
Downtown Santa Cruz: Juneteenth Parade,2026-06-13,Downtown Santa Cruz,music
Woodies on the Wharf,2026-06-27,Santa Cruz Municipal Wharf,festival
Santa Cruz Boardwalk: Summer Luau,2026-07-10,The Grove,music
Audrey Stanley Grove: Shakespeare In The Park,2026-07-12,Audrey Stanley Grove in DeLaveaga Park,food
SC Civic Auditorium: Festival of Contemporary Music,2026-07-26,Santa Cruz Civic Auditorium,music
Santa Cruz County Fair,2026-09-16,Santa Cruz County Fairgrounds,arts
SC Beach Boardwalk: Fiesta en la Playa,2026-09-26,Santa Cruz Beach Boardwalk,music
Santa Cruz County: Monterey Bay Festival of Birds,2026-10-09,Santa Cruz,festival
SC Beach Boardwalk: Band Review,2026-10-17,Santa Cruz Beach Boardwalk,music
Downtown Santa Cruz: Halloween Mask Making Festival,2026-10-17,London Nelson Community Center,arts
SC Beach Boardwalk: Chili Cook-Off,2026-10-24,Santa Cruz Beach Boardwalk,food
SC Beach Boardwalk: Halloween,2026-10-31,Santa Cruz Beach Boardwalk,holiday
